"id","name","del_flag","create_by","create_time","update_by","update_time"
100,"Hoá đơn giá trị gia tăng gốc","0","admin",6/12/2021 11:16:00 AM,,
200,"Hoá đơn giá trị gia tăng điều chỉnh","0","admin",6/12/2021 11:16:00 AM,,
300,"Xuất nội bộ gốc","0","admin",6/12/2021 11:16:00 AM,,
400,"Xuất nội bộ điều chỉnh","0","admin",6/12/2021 11:16:00 AM,,
