"post_id","post_code","post_name","post_sort","status","create_by","create_time","update_by","update_time","remark"
1,"it","IT",1,"0","admin",12/2/2021 2:06:02 PM,"admin",4/25/2022 3:37:12 PM,""
4,"user","Nhân viên",2,"0","admin",12/2/2021 2:06:02 PM,"admin",12/3/2021 5:07:00 PM,""
